,date,start-val,max-val,min-val,avg-val,close-val,monetary-diff,precent-diff,amount,value,set-index,set-diff
45,12/02/18,480.00,488.00,478.00,483.45,488.00,8.00,1.67,"5,393.37","2,607.43","1,799.45",0.73
46,09/02/18,476.00,482.00,474.00,477.67,480.00,0.00,0.00,"9,378.06","4,479.66","1,786.45",-0.01
47,08/02/18,484.00,490.00,480.00,484.51,480.00,-4.00,-0.83,"11,027.36","5,342.40","1,786.66",0.07
48,07/02/18,490.00,490.00,482.00,486.75,484.00,0.00,0.00,"10,464.77","5,093.70","1,785.44",-0.17
49,06/02/18,486.00,490.00,480.00,484.75,484.00,-16.00,-3.20,"24,251.89","11,762.23","1,788.43",-1.21
50,05/02/18,492.00,502.00,492.00,498.08,500.00,-2.00,-0.40,"8,467.81","4,217.87","1,810.32",-0.93
51,02/02/18,504.00,510.00,500.00,505.64,502.00,4.00,0.80,"9,787.37","4,948.92","1,827.35",-0.34
52,01/02/18,496.00,500.00,492.00,496.49,498.00,6.00,1.22,"6,788.27","3,370.34","1,833.60",0.37
53,31/01/18,486.00,498.00,486.00,491.87,492.00,2.00,0.41,"9,031.63","4,442.08","1,826.86",0.01
54,30/01/18,494.00,498.00,488.00,492.17,490.00,-8.00,-1.61,"8,089.49","3,981.39","1,826.61",-0.59
55,29/01/18,496.00,500.00,492.00,496.91,498.00,8.00,1.63,"5,852.47","2,908.14","1,837.49",0.47
56,26/01/18,488.00,490.00,484.00,487.66,490.00,4.00,0.82,"6,857.36","3,344.12","1,828.88",0.53
57,25/01/18,496.00,498.00,484.00,492.29,486.00,-6.00,-1.22,"6,147.49","3,026.32","1,819.29",-1.07
58,24/01/18,488.00,492.00,486.00,489.25,492.00,4.00,0.82,"3,900.94","1,908.54","1,838.96",0.39
59,23/01/18,488.00,492.00,484.00,488.41,488.00,4.00,0.83,"5,795.38","2,830.53","1,831.78",0.42
60,22/01/18,480.00,486.00,478.00,482.30,484.00,6.00,1.26,"3,833.29","1,848.81","1,824.06",0.15
61,19/01/18,478.00,482.00,476.00,479.03,478.00,-2.00,-0.42,"5,640.32","2,701.90","1,821.34",0.11
62,18/01/18,490.00,490.00,480.00,484.46,480.00,-4.00,-0.83,"6,494.80","3,146.45","1,819.32",-0.52
63,17/01/18,482.00,486.00,478.00,481.68,484.00,2.00,0.41,"7,611.46","3,666.30","1,828.88",0.39
